Class gravity centers before standardisation:
P1	1.170	0.953	1.231	1.507	0.979	0.962	1.049	0.879	1.024	0.861	
P2	6.291	1.658	2.951	4.094	0.642	0.454	2.422	0.200	3.843	0.168	
P3	10.638	1.191	1.421	6.039	0.059	0.000	3.472	0.000	4.722	0.000	

mv	6.033	1.267	1.868	3.880	0.560	0.472	2.314	0.360	3.196	0.343	
sd	4.327	1.020	1.758	2.337	0.392	0.412	1.354	0.424	2.270	0.427	

Class gravity centers after standardisation:
P1	-1.124	-0.308	-0.362	-1.015	1.068	1.189	-0.934	1.226	-0.957	1.214	
P2	0.060	0.383	0.616	0.092	0.209	-0.044	0.080	-0.377	0.285	-0.410	
P3	1.064	-0.075	-0.254	0.924	-1.277	-1.146	0.855	-0.849	0.672	-0.804	

Weights before standardisation:
w1	-2.248	-0.616	-0.725	-2.031	2.136	2.379	-1.869	2.452	-1.914	2.428	-9.844	
w2	0.119	0.766	1.233	0.184	0.417	-0.088	0.160	-0.754	0.570	-0.821	-0.982	
w3	2.129	-0.150	-0.508	1.847	-2.554	-2.291	1.709	-1.698	1.345	-1.608	-7.548	

Weights after standardisation:
w1	-0.520	-0.604	-0.412	-0.869	5.447	5.775	-1.380	5.787	-0.843	5.692	-5.724	
w2	0.028	0.751	0.701	0.079	1.064	-0.213	0.118	-1.780	0.251	-1.924	-3.985	
w3	0.492	-0.147	-0.289	0.790	-6.511	-5.561	1.262	-4.007	0.592	-3.768	-8.665	

Object	 True class 	 Assigned class
1	1	1
2	1	1
3	1	2
4	1	2
5	1	1
6	1	2
7	1	1
8	1	1
9	1	1
10	1	1
11	1	1
12	1	1
13	1	1
14	1	1
15	1	1
16	2	3
17	2	3
18	2	3
19	2	2
20	2	2
21	2	2
22	3	3
23	3	2
24	3	3
25	3	3
26	3	3
27	3	3
28	3	3
29	3	3
30	3	3
31	3	3
32	3	3
33	3	3
34	3	3
35	3	3
36	1	1
37	1	2
38	1	2
39	1	1
40	1	1
41	3	3
42	1	2
43	3	3
44	3	3
45	3	3
46	1	1
47	1	2
48	1	1
49	1	1
50	1	1
51	1	1
52	1	1
53	1	1
54	1	1
55	1	1
56	1	1
57	1	1
58	1	1
59	1	1
60	1	1
61	1	1
62	1	1
63	2	2
64	1	1
65	2	2
66	2	2
67	2	2
68	2	2
69	2	2
70	2	2
71	3	3
72	3	3
73	3	3
74	3	3
75	3	3
76	3	3
77	3	3
78	3	3
79	3	3
80	3	3
81	3	3
82	3	3
83	2	2
84	2	2
85	2	2
86	2	2
87	1	1
88	1	1
89	2	2
90	2	2
91	1	1
92	2	2
93	1	1
94	1	1
95	1	1
96	2	2
97	2	2
98	1	1
99	2	2
100	2	2
101	1	1
102	1	1
103	1	1
104	1	1
105	1	1
106	1	1
107	1	1
108	2	2
109	1	1
110	1	1
111	1	1
112	1	1
113	1	1
114	2	2
115	2	2
116	2	2
117	1	1
118	1	1
119	1	1
120	1	1
121	1	1
122	1	1
123	2	2
124	1	1
125	3	3
126	3	3
127	3	2
128	3	3
129	3	3
130	3	3
131	3	3
132	3	3
133	3	3
134	3	3
135	3	3
136	3	3
137	3	3
138	3	3
139	3	3
140	3	3
141	3	3
142	3	3
143	3	3
144	3	3
145	3	3
146	3	3
147	3	3
148	3	3
149	3	3
150	3	3
151	3	3
152	3	3
153	3	3
154	3	3
155	3	3
156	3	3
157	3	3
158	3	3
159	3	3
160	3	3
161	3	3
162	3	3
163	2	2
164	1	1
165	2	2
166	1	1
167	2	2
168	1	1
169	2	2
170	1	1
171	1	1
172	2	2
173	2	2
174	2	2
175	2	2
176	2	2
177	2	2
178	2	2
179	1	1
180	2	2
181	1	1
182	2	2
183	2	2
184	1	1
185	1	1
186	2	2
187	1	1
188	2	2
189	1	1
190	2	2
191	1	1
192	2	2
193	1	1
194	2	3
195	2	2
196	1	1
197	1	1
198	2	2
199	2	3
200	2	2
201	2	2
202	1	1
203	1	1
204	1	1
205	1	1
206	2	2
207	2	2
208	1	1
209	2	2
210	2	2
211	2	2
212	2	2
213	2	2
214	2	2
215	1	1
216	1	1
217	1	1
218	3	3
